Date,Close,Open,High,Low,Vol.,Change %
"Oct 25, 2021",217.70,226.20,226.20,216.10,1.08M,-3.76%
"Oct 24, 2021",226.20,226.50,234.80,217.10,1.53M,-1.48%
"Oct 21, 2021",229.60,224.10,232.00,211.10,1.67M,3.38%
"Oct 19, 2021",222.10,231.90,233.90,220.00,1.07M,-2.97%
"Oct 18, 2021",228.90,236.00,236.00,213.50,753.38K,-2.01%
"Oct 17, 2021",233.60,238.00,239.40,228.10,672.37K,-1.60%
"Oct 14, 2021",237.40,235.10,238.20,231.00,996.17K,0.98%
"Oct 13, 2021",235.10,239.80,240.00,235.00,704.16K,-1.05%
"Oct 12, 2021",237.60,240.20,243.50,236.60,637.78K,-1.00%
"Oct 11, 2021",240.00,244.90,247.30,239.30,1.27M,-1.84%
"Oct 10, 2021",244.50,243.30,252.00,243.30,1.08M,-1.69%
"Oct 07, 2021",248.70,251.20,253.80,246.70,2.11M,-0.96%
"Oct 06, 2021",251.10,254.90,255.40,249.50,1.67M,-0.40%
"Oct 05, 2021",252.10,253.00,254.90,249.00,1.62M,0.52%
"Oct 04, 2021",250.80,245.00,255.10,245.00,3.04M,2.08%
"Oct 03, 2021",245.70,242.30,248.80,242.30,1.85M,2.25%
"Sep 30, 2021",240.30,235.00,244.30,235.00,3.63M,1.91%
"Sep 29, 2021",235.80,238.10,240.50,235.00,1.66M,-0.76%
"Sep 28, 2021",237.60,243.50,244.60,236.20,2.04M,-0.50%
"Sep 27, 2021",238.80,241.50,245.00,237.70,1.66M,0.38%
"Sep 26, 2021",237.90,246.20,246.50,237.10,2.47M,-3.14%
"Sep 23, 2021",245.60,247.00,249.00,243.30,2.91M,-0.28%
"Sep 22, 2021",246.30,247.40,251.80,243.00,2.46M,-0.44%
"Sep 21, 2021",247.40,238.00,249.30,237.00,3.80M,5.28%
"Sep 20, 2021",235.00,234.10,237.00,233.70,1.75M,0.51%
"Sep 19, 2021",233.80,238.00,238.00,232.00,2.08M,-0.97%
"Sep 16, 2021",236.10,232.80,238.00,232.80,1.95M,2.03%
"Sep 15, 2021",231.40,224.80,235.00,220.80,3.79M,5.13%
"Sep 14, 2021",220.10,224.50,227.50,218.40,3.17M,-1.96%
"Sep 13, 2021",224.50,220.50,227.80,220.20,2.86M,1.04%
"Sep 12, 2021",222.20,225.20,230.50,220.00,3.06M,-0.85%
"Sep 09, 2021",224.10,216.40,225.90,215.00,3.25M,3.80%
"Sep 08, 2021",215.90,213.20,216.60,209.70,3.03M,2.23%
"Sep 07, 2021",211.20,209.90,213.30,208.40,1.80M,0.52%
"Sep 06, 2021",210.10,209.10,212.50,204.30,3.29M,1.94%
"Sep 05, 2021",206.10,209.70,211.20,205.20,2.92M,-0.05%
"Sep 02, 2021",206.20,203.00,207.20,202.60,2.17M,2.64%
"Sep 01, 2021",200.90,200.00,202.90,197.60,2.50M,1.11%
